appid,genres
1049850,RPG;Strategy
1049890,Action;Indie
10500,Strategy
105000,Adventure;Indie
1050280,Massively Multiplayer;RPG;Free To Play
1050340,Animation & Modeling;Video Production
1050370,Action;Adventure;Indie
105100,Adventure;Casual;Indie
1051200,Action;Adventure;Indie
1051310,Action;Adventure;Indie
1051410,Adventure;Indie
1051590,Casual;Indie;RPG;Strategy
1051670,Action;Adventure;Early Access
1051690,Action;Indie
1051890,Action;Adventure;Indie
1051960,Action;Indie
1052070,Adventure;Free To Play;Indie
1052380,Action;Indie
1052500,Action;Adventure;Casual;Free To Play;Indie;Massively Multiplayer;Racing;RPG;Simulation;Sports;Strategy
1052990,Adventure;Casual;Indie;Strategy
105300,Casual;Indie
1053390,Adventure
1053680,Casual;Indie;Simulation;Early Access
1053710,Adventure;Casual;Indie;RPG
1054120,Adventure;Indie;RPG;Simulation
105420,Action;Indie
1054340,Indie;Simulation;Early Access
1054430,Action;Casual;Indie;Racing
1054490,Indie;Strategy
1054510,Action;Adventure;Indie;RPG;Simulation;Strategy
105450,Simulation;Strategy
1054550,Indie;Strategy
1054640,Action;Adventure;Indie
1054650,Casual;Indie
1054690,Indie;Strategy
1054700,Action;Adventure;Indie;RPG
1054710,Action;Adventure;Indie
1054800,Casual;Indie;Strategy
1054990,Casual;Racing
1055010,Design & Illustration;Utilities
1055090,Indie;Simulation;Strategy;Early Access
1055210,Action;Free To Play;Indie
1055310,Adventure;Casual
1055430,Action;Adventure;Casual;RPG;Strategy
1055540,Adventure;Indie
1055610,Action;Indie;Strategy
1055690,Adventure;Casual
1055760,Indie;RPG;Simulation
1055850,Adventure;Indie
1055990,Adventure;Indie;RPG;Strategy
105600,Action;Adventure;Indie;RPG
1056280,Adventure;Indie;Simulation
1056490,Action;Indie;RPG
1056570,Adventure
1056580,Adventure;Free To Play
1056590,Adventure;Indie
1056600,Action;Indie;Strategy;Early Access
1056640,Action;Massively Multiplayer;RPG;Free To Play
1056750,Indie;RPG
1056960,Action
1056970,Action
1057090,Action
1057180,Action;Adventure;Indie;Simulation
1057430,Action;Adventure;Indie;Free To Play
1057540,Indie;RPG
1057640,Action;Adventure;Indie;Early Access
1057680,Adventure;Casual;Indie;Simulation
1057700,Action;Free To Play;Indie
1057750,Adventure;Casual;Indie
1057780,Action;Adventure;Indie;Early Access
1057800,Indie;Strategy
1057850,Action;Free To Play;Indie
105800,Action;Casual;Indie
1058000,Free To Play
1058020,Action
1058060,Indie;RPG
1058130,Adventure;Indie;RPG;Strategy
1058140,Adventure
1058270,Adventure;Casual;RPG;Simulation;Strategy;Early Access
1058280,Action;Indie;Racing
